Country,Tested (2005),Cases (2005),Positivity Rate (2005),Tested (2006),Cases (2006),Positivity Rate (2006),Tested (2007),Cases (2007),Positivity Rate (2007),Tested (2008),Cases (2008),Positivity Rate (2008),Tested (2003),Cases (2003),Positivity Rate (2003),Tested (2004),Cases (2004),Positivity Rate (2004),Tested (2001-2002),Cases (2001-2002),Positivity Rate (2001-2002)
Australia (North Queensland),664440,58,0.008729155,664440,140,0.021070375,664440,58,0.008729155,664440,140,0.021070375,664440,,,664440,,,664440,,
Cambodia,13000000,9040,0.069538462,13000000,16649,0.128069231,13000000,,,13000000,,,13000000,,,13000000,,,13000000,,
French Polynesia,132900,3,0.002257336,132900,818,0.615500376,132900,,,132900,,,132900,,,132900,,,132900,,
India,1028000000,11985,0.001165856,1028000000,9680,0.000941634,1028000000,,,1028000000,,,1028000000,,,1028000000,,,1028000000,,
Japan (Travelers Only),,31,,,49,,,,,,,,,31,,,49,,,,
Malaysia,24821286,39654,0.15975804,24821286,18240,0.073485314,24821286,,,24821286,,,24821286,,,24821286,,,24821286,,
Philippines,84241341,33490,0.039754828,84241341,36891,0.043792038,84241341,,,84241341,,,84241341,,,84241341,,,84241341,,
Singapore,4553009,14209,0.31207933,4553009,3100,0.068086841,4553009,,,4553009,,,4553009,,,4553009,,,4553009,,
Sri Lanka,20926315,5965,0.02850478,20926315,11972,0.057210264,20926315,,,20926315,,,20926315,,,20926315,,,20926315,,
Thailand,62000000,34291,0.055308065,62000000,,,62000000,,,62000000,,,62000000,,,62000000,,,62000000,,
Vietnam,83119916,60982,0.073366292,83119916,77818,0.093621365,83119916,,,83119916,,,83119916,,,83119916,,,83119916,,
Argentina,38592150,34,8.81008E-05,38592150,181,0.000469007,38592150,,,38592150,,,38592150,,,38592150,,,38592150,,
Brazil,189335187,203789,0.107633981,189335187,346550,0.18303518,189335187,,,189335187,,,189335187,,,189335187,,,189335187,,
Colombia,42090512,39825,0.094617523,42090512,38271,0.09092548,42090512,,,42090512,,,42090512,,,42090512,,,42090512,,
Costa Rica,4401845,37798,0.858685392,4401845,12052,0.273794284,4401845,,,4401845,,,4401845,,,4401845,,,4401845,,
Cuba,11416987,148883,1.304048082,11416987,,,11416987,,,11416987,,,11416987,,,11416987,,,11416987,148883,1.304048082
Honduras,7400000,18843,0.254635135,7400000,7800,0.105405405,7400000,,,7400000,,,7400000,,,7400000,,,7400000,,
Mexico,108700891,29836,0.027447797,108700891,16862,0.015512292,108700891,,,108700891,,,108700891,,,108700891,,,108700891,,
Nicaragua,5142098,13831,0.268975815,5142098,10073,0.195892805,5142098,,,5142098,,,5142098,,,5142098,,,5142098,,
Puerto Rico,3937316,6039,0.153378596,3937316,3286,0.083457868,3937316,,,3937316,,,3937316,,,3937316,,,3937316,,
United States,11000000,28,0.000254545,11000000,,,11000000,,,11000000,,,11000000,,,11000000,,,11000000,,
Venezuela,26084662,39860,0.152810107,26084662,42198,0.161773229,26084662,,,26084662,,,26084662,,,26084662,,,26084662,,
